color,main_colour
Moonlight Black,black
Mint Cream,others
Electric Black,black
Deep Blue,blue
Black,black
Blue,blue
Flowing Silver,silver
Crystal Blue,blue
Ink Black,black
Lake Green,green
Mystery Black,black
Fantastic Purple,purple
Matte Black,black
Moonlight Gold,gold
Aurora,others
Stellar Black,black
Magic Blue,blue
Starry Blue,blue
Crystal Black,black
Metallic White,white
Fantasy White,white
Navy Blue,blue
Fancy Blue,blue
Astral Blue,blue
Dynamic Black,black
Dynamic Orange,orange
Mystery Blue,blue
Fairy White,white
Fluid Black,black
Sky White,white
Midnight Black,black
Rainbow Silver,silver
Auroral Blue,blue
Crystal Silver,silver
Space Silver,silver
Fancy White,white
Midnight Blue,blue
Glaring Gold,gold
Starry Black,black
Red,red
JET BLACK,black
Luminous Black,black
Unicorn White,white
Prism Black,black
Piano Black,black
Classic Silver,silver
Lightening Black,black
Marine Green,green
Bordeaux Red,red
Galactic Blue,blue
Marble Green,green
Diamond Blue,blue
Silky White,white
Starry Night,others
Space Purple,purple
Dazzling White,white
Rose Gold,gold
Gold,gold
Blazing Blue,blue
Purple,purple
Champagne,others
Aurora Blue,blue
Mist Black,black
Twilight Black,black
Stream White,white
Vanilla Mint,others
Green,green
Grey,grey
Sunrise Red,red
Twilight Blue,blue
Starry Purple,purple
Diamond Red,red
Glaze Blue,blue
Mirror Black,black
Jade Black,black
White,white
Stellar Purple,purple
Fluorite Purple,purple
Waterfall Grey,grey
Aurora Green,green
Thunder Black,black
Fancy white,white
Jewelry White,white
Silver,silver
Glacier Blue,blue
Neon Purple,purple
Jet Black,black
Majestic Gold,gold
Ocean Green,green
Ocean Blue,blue
Starry purple,purple
Amazing Silver,silver
Blue MB,blue
Quantum Silver,silver
Tornado Black,black
 Tornado Black,black
Just Black,black
Clearly White,white
Not Pink,pink
Very Silver,silver
Aurora Silver,silver
midnight blue,blue
Midnight Purple,purple
Moroccan Blue,blue
Smokey Gray,others
Black Blue,blue
MAGIC BLUE,blue
Thunder Blue,blue
Thunder blue,blue
Platinum,others
Titan,others
Silver Titan,silver
Platinum Grey,grey
Brown,brown
Ice,others
Black Titan,black
AURORA SILVER,silver
Aurora Gray,others
Laser Blue,blue
Black & Blue,blue
Black Gold,black
Gold & Black,black
Illusion Sky,others
Carbon,others
Genuine Leather Black,black
Titan Silver,silver
Pink,pink
Metallic Gray,others
Lavender Violet,violet
Genuine Leather Brown,brown
Meteor Silver,silver
Silver Blue,blue
Yellow,yellow
Rose Pink,pink
Titanium,others
Aqua Blue,blue
Orange,orange
Cool Blue,blue
Cool Grey,grey
Racing Blue,blue
Racing Silver,silver
Cross Black,black
Cross Blue,blue
Watery Grey,grey
Watery Blue,blue
Universe Blue,blue
Universe Purple,purple
Laser Black,black
Supersonic Black,black
Supersonic Blue,blue
Infinite Black,black
Power Blue,blue
Infinite Blue,blue
Cyber Silver,silver
Cyber Black,black
Power Silver,silver
Rich Grey,grey
Rich Green,green
Mist Blue,blue
Nebula,others
Sword Black,black
Blade Silver,silver
Frozen Blue,blue
Chroma White,white
Fusion Green,green
Mint Green,green
Carbon Black,black
Oxygen Blue,blue
Oxygen Green,green
Sparkling Blue,blue
Rust Red,red
Arctic White,white
Dashing Blue,blue
Moss Green,green
Crystal Green,green
Racing Yellow,yellow
Comet Blue,blue
Mystic Black,black
Diamond Black,black
